Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
27/02/2021,-5,76.51321195,2021-02-27T04:29:18.000Z,2021-02-27T04:35:48.000Z,2021-02-27T10:34:48.000Z,2021-02-27T10:37:18.000Z,6.139,5.722
28/02/2021,-5,81.71781525,2021-02-28T05:21:26.000Z,2021-02-28T05:29:56.000Z,2021-02-28T13:52:56.000Z,2021-02-28T13:52:56.000Z,8.528,7.389
01/03/2021,-5,80.19956808,2021-03-01T04:07:03.000Z,2021-03-01T04:15:33.000Z,2021-03-01T11:02:33.000Z,2021-03-01T11:04:33.000Z,6.972,6.389
02/03/2021,-5,89.28611111,2021-03-02T03:07:45.000Z,2021-03-02T03:07:45.000Z,2021-03-02T10:50:15.000Z,2021-03-02T10:53:15.000Z,7.750,7.389
03/03/2021,-5,91.67420635,2021-03-03T02:53:59.000Z,2021-03-03T02:57:29.000Z,2021-03-03T10:47:29.000Z,2021-03-03T11:00:59.000Z,8.111,7.583
04/03/2021,-5,83.75449949,2021-03-04T03:44:33.000Z,2021-03-04T03:48:03.000Z,2021-03-04T10:58:33.000Z,2021-03-04T11:14:33.000Z,7.500,6.833
05/03/2021,-5,87.51468254,2021-03-05T03:01:00.000Z,2021-03-05T03:01:00.000Z,2021-03-05T10:27:00.000Z,2021-03-05T10:32:00.000Z,7.528,7.194
06/03/2021,-5,86.87103175,2021-03-06T03:14:00.000Z,2021-03-06T03:21:30.000Z,2021-03-06T12:19:30.000Z,2021-03-06T12:19:30.000Z,9.083,8.139
07/03/2021,-5,63.86797386,2021-03-07T03:01:48.000Z,2021-03-07T03:07:48.000Z,2021-03-07T11:31:18.000Z,2021-03-07T11:31:18.000Z,8.500,6.611
08/03/2021,-5,90.7373339,2021-03-08T03:08:58.000Z,2021-03-08T03:24:28.000Z,2021-03-08T11:07:58.000Z,2021-03-08T11:22:28.000Z,8.222,7.528
09/03/2021,-5,91.41376934,2021-03-09T02:53:00.000Z,2021-03-09T03:01:00.000Z,2021-03-09T10:58:00.000Z,2021-03-09T10:58:00.000Z,8.083,6.750
